;Qn.1: Kindly restate the name of your variant we identified in the e-mail.;# Original developers;common active maintainers;technical;governance;legal;personal;others;decision
R1_1;acceptbitcoincash;I do not remember. It has been a long time since the variant was created;No, they do not have common maintainers;Agree;Not Applicable;Not Applicable;Not Applicable;Agree;community
R1_2;ErikEJ/EntityFramework6PowerTools;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;community
R1_3;AddstarMC/Prism-Bukkit;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Agree;Disagree;Strongly disagree;Strongly disagree;Not Applicable;community
R1_4;JKGDevs/JediKnightGalaxies;1, maintainer;Yes, they have common maintainers;Agree;Not Applicable;Not Applicable;Not Applicable;Strongly Agree;community
R1_7;ant-media/Ant-Media-Server;6 - 10, maintainers;No, they do not have common maintainers;Agree;Agree;Disagree;Disagree;Agree;individual
R1_8;fqborges/react-native-maps;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Disagree;Strongly disagree;Strongly disagree;Not Applicable;individual
R1_9;fxe-gear/cordova-plugin-ble-central;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Agree;Strongly disagree;Strongly disagree;Not Applicable;individual
R1_10;goodroot/hugo-classic;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
R1_11;numso/prettier-standard-vscode;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Strongly disagree;Strongly disagree;Strongly disagree;Not Applicable;individual
R1_12;michcic@gmail.com;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
R1_13;tcnh/fitnesse;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Agree;Not Applicable;Not Applicable;Not Applicable;Agree;individual
R1_14;facile-it/symfony-functional-testcase;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
R1_15;thread/django-translations;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Agree;Agree;Not Applicable;Not Applicable;Not Applicable;individual
R1_16;TheMeier/themeier-rsync;1, maintainer;No, they do not have common maintainers;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Strongly Agree;individual
R1_17;Adapik/PHPASN1;1, maintainer;No, they do not have common maintainers;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
R1_18;jazzy-crane/printer;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Disagree;Strongly disagree;Strongly disagree;Not Applicable;individual
R1_19;b1rdex/yii;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Agree;Agree;Not Applicable;Not Applicable;Not Applicable;individual
R1_20;bizley/yii2-jwt;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;individual
R1_21;mishamosher/yii2-admin;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Agree;Agree;Strongly disagree;Strongly disagree;Agree;individual
R1_23;jgonggrijp/pip-review;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Agree;Not Applicable;Not Applicable;Not Applicable;Disagree;individual
R1_24;BjornTwitchBot/BjornBot;1, maintainer;Yes, they have common maintainers;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly Agree;individual
R1_25;inventaire/isbn3;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Agree;Strongly disagree;Strongly disagree;Strongly Agree;individual
R1_26;AidasK/laravel-lang-import-export;1, maintainer;No, they do not have common maintainers;Strongly disagree;Strongly Agree;Strongly disagree;Strongly disagree;Strongly Agree;individual
R1_27;seiggy/AsterNET.ARI;0, none of the initial maintainers of the variant were originally part of the mainline;Yes, they have common maintainers;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
R1_28;biig-io/DictionaryBundle;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Agree;Disagree;Not Applicable;Not Applicable;Not Applicable;individual
R1_29;HakanL/shippo-csharp-client;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly Agree;individual
R1_30;emiliopedrollo/laravel-postgres-extended-schema;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
R1_31;carlossosa/CommandSchedulerBundle;I do not remember. It has been a long time since the variant was created;I am not sure since the projects are too and the contributors in the maintenance team are very many;Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
R1_32;macopedia/magmi-m2;0, none of the initial maintainers of the variant were originally part of the mainline;No, they do not have common maintainers;Strongly Agree;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;individual
R1_33;ascillato/Tasmota_KNX;0, none of the initial maintainers of the variant were originally part of the mainline;They used to have common maintainers in the early stages of the variant, but now the projects have technically diverged away from each other, there are no more common maintainers.;Not Applicable;Not Applicable;Not Applicable;Not Applicable;Strongly Agree;community
R1_34;Ashwin Bhat;6 - 10, maintainers;Yes, they have common maintainers;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
