original_developers;common_active_maintainers
do not remember;no
none;no
none;no
none;no
none;no
none;no
none;no
one;no
one;no
none;no
none;no
none;no
none;no
none;no
none;no
one;yes
none;no
one;no
none;yes
none;no
none;no
none;no
do not remember;not sure
none;no
none;yes & no
6 -- 10;yes
none;no
2 -- 5;yes & no
none;no
none;no
none;no
one;yes
none;no
none;no
none;no
one;no
none;no
none;yes
none;no
none;no
2 -- 5;yes
none;no
none;no
6 -- 10;no
none;yes
none;no
none;no
none;no
none;no
2 -- 5;no
none;no
none;no
none;no
6 -- 10;yes
one;yes
none;no
one;yes
none;no
none;no
none;no
none;yes
do not remember;yes
6 -- 10;no
one;no
none;no
none;no
one;yes
none;no
none;no
none;yes
2 -- 5;no
2 -- 5;yes
none;no
none;no
none;no
one;no
none;no
none;no
2 -- 5;yes
none;no
none;no
none;no
none;no
none;no
none;no
none;no
one;no
none;no
one;yes
none;no
none;no
none;no
one;yes & no
none;no
one;yes
none;no
none;no
none;no
none;no
none;no
none;no
one;no
none;no
none;no
