count;metric;repository
2801;stars;mainline
91;stars;mainline
12608;stars;mainline
171;stars;mainline
595;stars;mainline
5162;stars;mainline
1267;stars;mainline
558;stars;mainline
89;stars;mainline
63;stars;mainline
356;stars;mainline
115;stars;mainline
58;stars;mainline
0;stars;mainline
75;stars;mainline
972;stars;mainline
8427;stars;mainline
77;stars;mainline
873;stars;mainline
22113;stars;mainline
1408;stars;mainline
1408;stars;mainline
13117;stars;mainline
627;stars;mainline
473;stars;mainline
847;stars;mainline
39;stars;mainline
39;stars;mainline
1250;stars;mainline
4010;stars;mainline
249;stars;mainline
98570;stars;mainline
150;stars;mainline
788;stars;mainline
4694;stars;mainline
35;stars;mainline
190;stars;mainline
1032;stars;mainline
2263;stars;mainline
598;stars;mainline
2324;stars;mainline
48;stars;mainline
23;stars;mainline
324;stars;mainline
2311;stars;mainline
1618;stars;mainline
8846;stars;mainline
722;stars;mainline
5246;stars;mainline
275;stars;mainline
26;stars;mainline
54;stars;mainline
33;stars;mainline
419;stars;mainline
414;stars;mainline
724;stars;mainline
79;stars;mainline
643;stars;mainline
608;stars;mainline
63;stars;mainline
107;stars;mainline
791;stars;mainline
1135;stars;mainline
210;stars;mainline
176;stars;mainline
5101;stars;mainline
5101;stars;mainline
6266;stars;mainline
4688;stars;mainline
225;stars;mainline
31449;stars;mainline
145;stars;mainline
16596;stars;mainline
2206;stars;mainline
4616;stars;mainline
542;stars;mainline
479;stars;mainline
2481;stars;mainline
103;stars;mainline
1680;stars;mainline
111;stars;mainline
47;stars;mainline
373;stars;mainline
618;stars;mainline
1541;stars;mainline
2977;stars;mainline
51257;stars;mainline
2137;stars;mainline
959;stars;mainline
1153;stars;mainline
726;stars;mainline
107;stars;mainline
167;stars;mainline
73;stars;mainline
1133;stars;mainline
4169;stars;mainline
4;stars;mainline
321;stars;mainline
1706;stars;mainline
58;stars;mainline
379;stars;mainline
4844;stars;mainline
59;stars;variant
558;stars;variant
58;stars;variant
0;stars;variant
9;stars;variant
10;stars;variant
151;stars;variant
16;stars;variant
39;stars;variant
1;stars;variant
72;stars;variant
