mainline;variant
2factorauth/twofactorauth;acceptbitcoincash/acceptbitcoincash
aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools
prism/Prism-Bukkit;AddstarMC/Prism-Bukkit
JACoders/OpenJK;JKGDevs/JediKnightGalaxies
Red5/red5-server;ant-media/Ant-Media-Server
airbnb/react-native-maps;fqborges/react-native-maps
don/cordova-plugin-ble-central;fxe-gear/cordova-plugin-ble-central
yihui/hugo-xmin;goodroot/hugo-classic
esbenp/prettier-vscode;numso/prettier-standard-vscode
PromyLOPh/pianobar;thedmd/pianobar-windows
unclebob/fitnesse;tcnh/fitnesse
liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase
bbmokhtari/django-translations;thread/django-translations
puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync
fgrosse/PHPASN1;Adapik/PHPASN1
alexbrainman/printer;jazzy-crane/printer
yiisoft/yii;b1rdex/yii
sizeg/yii2-jwt;bizley/yii2-jwt
mdmsoft/yii2-admin;mishamosher/yii2-admin
jazzband/pip-tools;jgonggrijp/pip-review
Bjorn248/BjornBot;BjornTwitchBot/BjornBot
tadas-s/isbnjs;inventaire/isbn3
highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export
skrusty/AsterNET.ARI;seiggy/AsterNET.ARI
KnpLabs/DictionaryBundle;biig-io/DictionaryBundle
goshippo/shippo-csharp-client;HakanL/shippo-csharp-client
bosnadev/database;emiliopedrollo/laravel-postgres-extended-schema
j-guyon/CommandSchedulerBundle;carlossosa/CommandSchedulerBundle
macopedia/magmi-m2;lsv/magmi-m2
arendst/Sonoff-Tasmota;ascillato/Tasmota_KNX
materialx/MaterialX;autodesk-forks/MaterialX
Auburn/FastNoiseSIMD;caseymcc/HastyNoise
octobercms/library;wintercms/winter
jcrobak/parquet-python;dask/fastparquet
afitz/golua;aarzilli/golua
cakephp/cakephp;littleant/cakephp-1.3.21
qmonnet/rbpf;solana-labs/rbpf
mmcgrana/gobyexample;butuzov/gobyexample
joshmarshall/jsonrpclib;tcalmant/jsonrpclib
publiux/laravelcdn;juhasev/LaravelCdn
RDFLib/rdflib;tgbugs/rdflib
facebook/react-native;microsoft/react-native-macos
wgltony/react-native-braintree-dropin-ui;BradyShober/react-native-braintree-dropin-ui
jstasiak/python-zeroconf;frawau/aiozeroconf
dlang/druntime;ldc-developers/druntime
jeroenzwart/laravel-csv-seeder;bfinlay/laravel-excel-seeder
dogenzaka/go-iap;evalphobia/go-iap
Azure/autorest.csharp;agoda-com/autorest.csharp
ezsystems/ezpublish-legacy;mugoweb/ezpublish-legacy
chasegiunta/craft-vue-tailwind;madebykind/craft-vue-tailwind-nanobox
pinterest/PINCache;wireapp/PINCache
silascutler/LnkParse;Matmaus/LnkParse3
PetterKraabol/Twitch-Chat-Downloader;TheDrHax/Twitch-Chat-Downloader
kyuupichan/electrumx;spesmilo/electrumx
glyptodon/guacamole-client;padarom/guacamole-common-js
swig/swig;swig-fortran/swig
curl/curl;Unity-Technologies/curl
eclipse/winery;OpenTOSCA/winery
rogerclarkmelbourne/Arduino_STM32;stevstrong/Arduino_STM32
NickWaterton/Roomba980-Python;pschmitt/roombapy
apex-enterprise-patterns/fflib-apex-common;wimvelzeboer/fflib-apex-common
golang/exp;oakmound/shiny
golang/crypto;ProtonMail/go-crypto
JamesNK/Newtonsoft.Json;jilleJr/Newtonsoft.Json-for-Unity
apple/swift;swiftwasm/swift
austencm/youtube-auto-like;Taknok/youtube-auto-like
dashpay/dash;PIVX-Project/PIVX
getsentry/sentry-auth-google;siemens/sentry-auth-oidc
javacc/javacc;phax/ParserGeneratorCC
eclipse/winery;OpenTOSCA/winery
goldsmith/Wikipedia;lehinevych/MediaWikiAPI
MediaBrowser/plugin.video.emby;croneter/PlexKodiConnect
microsoft/azure-tools-for-java;JetBrains/azure-tools-for-intellij
dashpay/dash;biblepay/biblepay
bcdev/beam;senbox-org/snap-engine
jdsteinbach/eleventy-plugin-toc;JordanShurmer/eleventy-plugin-toc
openssl/openssl;open-quantum-safe/openssl
jnovack/homebridge-better-http-rgb;QuickSander/homebridge-http-rgb-push
FirebaseExtended/firebase-queue;kaliberjs/firebase-queue
PaperMC/Paper;pl3xgaming/Purpur
fogleman/Minecraft;traverseda/pycraft
PaperMC/Waterfall;yesdog/Waterdog
SpigotMC/BungeeCord;PaperMC/Waterfall
obsproject/obs-studio;CoSMoSoftware/OBS-studio-webrtc
bsnes-emu/bsnes;libretro/bsnes-mercury
redis/redis;JohnSully/KeyDB
Baystation12/Baystation12;Aurorastation/Aurora.3
CloudburstMC/Nukkit;CloudburstMC/Server
m0ver/tinystruct-examples;tinystruct/tinystruct-examples
JabRef/jabref;koppor/jabref
mmcgrana/gobyexample;golangit/gobyexample-it
desktop/desktop;shiftkey/desktop
thinkle/gourmet;kirienko/gourmet
GiulioRossetti/ndlib;KDDComplexNetworkAnalysis/ndlib
kiprotect/klaro;empreinte-digitale/orejime
shurcooL/markdownfmt;Kunde21/markdownfmt
shimmerproject/Numix;Ferdi265/numix-solarized-gtk-theme
monero-project/monero;oxen-io/oxen-core
raylee/tldr-sh-client;pepa65/tldr-bash-client
arachnys/cabot;Affirm/cabot
erikrose/blessings;jquast/blessed
rust-rocksdb/rust-rocksdb;tikv/rust-rocksdb
opentk/opentk;ppy/osuTK
ncase/trust;dccxi/trust-zh-CN
