No;mainline;variant;stars_ml;stars_vr;pr_ml;pr_vr;issues_ml;issues_vr;commits_ml;commits_vr
1;2factorauth/twofactorauth;acceptbitcoincash/acceptbitcoincash;2801;59;5019;880;6151;2057;2337;3730
2;afitz/golua;aarzilli/golua;91;558;5;38;8;101;5;99
3;airbnb/react-native-maps;fqborges/react-native-maps;12608;58;921;7;3961;25;555;421
4;alexbrainman/printer;jazzy-crane/printer;171;0;6;10;22;10;3;11
5;apex-enterprise-patterns/fflib-apex-common;wimvelzeboer/fflib-apex-common;595;9;172;8;354;8;122;121
6;arachnys/cabot;Affirm/cabot;5162;10;265;206;710;206;498;444
7;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;1267;151;857;18;1856;86;1041;188
8;Auburn/FastNoiseSIMD;caseymcc/HastyNoise;558;16;11;13;44;15;17;41
9;austencm/youtube-auto-like;Taknok/youtube-auto-like;89;39;24;18;86;53;102;152
10;Azure/autorest.csharp;agoda-com/autorest.csharp;63;1;850;38;1535;38;1309;121
11;Baystation12/Baystation12;Aurorastation/Aurora.3;356;72;19028;8350;31224;12578;27618;12893
12;bbmokhtari/django-translations;thread/django-translations;115;0;58;1;78;1;22;6
13;bcdev/beam;senbox-org/snap-engine;58;141;54;274;54;274;343;4591
14;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;0;2;10;15;13;15;65;80
15;bosnadev/database;emiliopedrollo/laravel-postgres-extended-schema;75;0;36;2;51;2;22;61
16;bsnes-emu/bsnes;libretro/bsnes-mercury;972;33;88;57;226;90;2556;333
17;cakephp/cakephp;littleant/cakephp-1.3.21;8427;33;9826;8;15943;20;7830;89
18;chasegiunta/craft-vue-tailwind;madebykind/craft-vue-tailwind-nanobox;77;3;22;9;25;15;55;165
19;CloudburstMC/Nukkit;CloudburstMC/Server;873;134;1167;85;1859;133;190;421
20;curl/curl;Unity-Technologies/curl;22113;17;4633;17;7664;17;9275;8857
21;dashpay/dash;biblepay/biblepay;1408;26;3878;6;4474;40;3445;257
22;dashpay/dash;PIVX-Project/PIVX;1408;484;3878;1955;4474;2564;6732;9120
23;desktop/desktop;shiftkey/desktop;13117;3783;4374;199;12268;597;21116;21129
24;dlang/druntime;ldc-developers/druntime;627;29;3578;201;3578;201;7276;8438
25;dogenzaka/go-iap;evalphobia/go-iap;473;7;102;14;147;14;191;29
26;don/cordova-plugin-ble-central;fxe-gear/cordova-plugin-ble-central;847;13;114;4;864;10;160;179
27;eclipse/winery;OpenTOSCA/winery;39;13;561;196;630;253;1617;1634
28;eclipse/winery;OpenTOSCA/winery;39;13;561;196;630;253;1617;1634
29;erikrose/blessings;jquast/blessed;1250;712;79;101;163;220;44;637
30;esbenp/prettier-vscode;numso/prettier-standard-vscode;4010;36;945;8;2223;50;927;25
31;ezsystems/ezpublish-legacy;mugoweb/ezpublish-legacy;249;3;1466;206;1466;207;340;241
32;facebook/react-native;microsoft/react-native-macos;98570;2034;10245;579;32081;846;9375;8937
33;fgrosse/PHPASN1;Adapik/PHPASN1;150;4;42;4;85;7;64;60
34;FirebaseExtended/firebase-queue;kaliberjs/firebase-queue;788;18;49;18;121;56;3;171
35;fogleman/Minecraft;traverseda/pycraft;4694;1091;75;52;128;93;10;188
36;getsentry/sentry-auth-google;siemens/sentry-auth-oidc;35;41;14;18;42;30;3;38
37;GiulioRossetti/ndlib;KDDComplexNetworkAnalysis/ndlib;190;7;164;48;207;48;450;467
38;glyptodon/guacamole-client;padarom/guacamole-common-js;1032;18;469;8;469;11;1827;1577
39;golang/crypto;ProtonMail/go-crypto;2263;145;190;68;190;87;565;655
40;golang/exp;oakmound/shiny;598;12;20;7;20;15;273;97
41;goldsmith/Wikipedia;lehinevych/MediaWikiAPI;2324;22;90;38;293;52;4;213
42;goshippo/shippo-csharp-client;HakanL/shippo-csharp-client;48;5;46;1;70;7;71;18
43;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;23;7;10;2;10;3;8;42
44;j-guyon/CommandSchedulerBundle;carlossosa/CommandSchedulerBundle;324;0;101;1;200;1;155;82
45;JabRef/jabref;koppor/jabref;2311;7;4788;24;8116;519;11048;17
