New features;Bug Fixes;Security fixes;Refactoring;Documentation;Others
Sometimes;Sometimes;Sometimes;Often;Always;Sometimes
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Often;Often;Often;Sometimes;Rarely;Never
Never;Never;Never;Never;Never;Never
Rarely;Rarely;Rarely;Rarely;Rarely;Rarely
Rarely;Rarely;Rarely;Rarely;Rarely;Rarely
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Always
Always;Always;Always;Always;Always;Always
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Always
Rarely;Rarely;Rarely;Rarely;Rarely;Never
Sometimes;Often;Always;Sometimes;Never;Never
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Always
Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;Never
Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;Sometimes
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Always
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Never
Never;Never;Never;Never;Never;Never
Sometimes;Always;Always;Always;Rarely;Never
Sometimes;Sometimes;Rarely;Rarely;Rarely;Never
Rarely;Sometimes;Sometimes;Rarely;Rarely;Never
Often;Often;Always;Often;Never;Often
Always;Always;Always;Always;Always;Always
Always;Always;Always;Always;Always;Always
Never;Never;Never;Never;Never;Never
Rarely;Often;Always;Never;Sometimes;Rarely
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Rarely;Rarely;Never;Never;Never
Always;Always;Always;Always;Always;Always
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Always
Often;Often;Often;Often;Often;Often
Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;Sometimes
Never;Never;Never;Never;Never;Never
Often;Often;Often;Often;Often;Often
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Rarely;Rarely;Rarely;Rarely;Rarely;Never
Never;Sometimes;Often;Never;Rarely;Rarely
Sometimes;Sometimes;Sometimes;Rarely;Rarely;Never
Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;Sometimes
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Sometimes;Often;Always;Rarely;Rarely;Never
Always;Always;Always;Always;Always;Rarely
Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;Never
Sometimes;Sometimes;Sometimes;Never;Never;Never
Always;Always;Always;Always;Always;Never
Always;Always;Always;Rarely;Often;Sometimes
Rarely;Often;Often;Never;Never;Never
Rarely;Often;Often;Rarely;Never;Sometimes
Sometimes;Sometimes;Sometimes;Never;Never;Never
Often;Always;Always;Often;Often;Never
Always;Always;Always;Always;Always;Sometimes
Always;Always;Always;Always;Always;Always
Sometimes;Rarely;Never;Never;Never;Never
Sometimes;Always;Always;Sometimes;Sometimes;Always
Sometimes;Sometimes;Always;Sometimes;Sometimes;Sometimes
Never;Often;Often;Never;Never;Never
Often;Often;Often;Often;Often;Often
Never;Never;Never;Never;Never;Never
Sometimes;Sometimes;Sometimes;Rarely;Rarely;Never
Always;Always;Always;Often;Sometimes;Never
Always;Always;Always;Always;Rarely;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Always;Sometimes;Sometimes;Rarely;Often;Never
Never;Never;Never;Never;Never;Never
Always;Always;Often;Often;Often;Always
Always;Always;Often;Often;Often;Always
Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;Sometimes
Never;Never;Never;Never;Never;Never
Often;Sometimes;Sometimes;Often;Sometimes;Never
Sometimes;Rarely;Rarely;Rarely;Rarely;Rarely
Sometimes;Always;Sometimes;Sometimes;Rarely;Never
Never;Never;Never;Never;Never;Never
Rarely;Rarely;Rarely;Rarely;Rarely;Rarely
Always;Always;Always;Always;Always;Never
Never;Never;Never;Never;Never;Never
Rarely;Sometimes;Sometimes;Never;Sometimes;Sometimes
Always;Always;Always;Always;Always;Always
Always;Always;Always;Always;Always;Always
Rarely;Rarely;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Always
Sometimes;Sometimes;Sometimes;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Rarely;Rarely;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Rarely;Rarely;Never;Never;Never;Never
Rarely;Rarely;Rarely;Rarely;Rarely;Never
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
