original_developers;common_active_maintainers;technical;governance;legal;personal;others;decision
do not remember;no;Agree;Not Applicable;Not Applicable;Not Applicable;Agree;community
none;no;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;community
none;no;Agree;Disagree;Strongly disagree;Strongly disagree;Not Applicable;community
one;yes;Agree;Not Applicable;Not Applicable;Not Applicable;Strongly Agree;community
6 -- 10;no;Agree;Agree;Disagree;Disagree;Agree;individual
none;no;Strongly Agree;Disagree;Strongly disagree;Strongly disagree;Not Applicable;individual
none;no;Strongly Agree;Agree;Strongly disagree;Strongly disagree;Not Applicable;individual
none;no;Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
none;no;Strongly Agree;Strongly disagree;Strongly disagree;Strongly disagree;Not Applicable;individual
none;no;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
none;no;Agree;Not Applicable;Not Applicable;Not Applicable;Agree;individual
none;no;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
none;no;Agree;Agree;Not Applicable;Not Applicable;Not Applicable;individual
one;no;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Strongly Agree;individual
one;no;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
none;no;Strongly Agree;Disagree;Strongly disagree;Strongly disagree;Not Applicable;individual
none;no;Agree;Agree;Not Applicable;Not Applicable;Not Applicable;individual
none;no;Strongly Agree;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;individual
none;no;Agree;Agree;Strongly disagree;Strongly disagree;Agree;individual
none;no;Agree;Not Applicable;Not Applicable;Not Applicable;Disagree;individual
one;yes;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly Agree;individual
none;no;Strongly Agree;Agree;Strongly disagree;Strongly disagree;Strongly Agree;individual
one;no;Strongly disagree;Strongly Agree;Strongly disagree;Strongly disagree;Strongly Agree;individual
none;yes;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
none;no;Agree;Disagree;Not Applicable;Not Applicable;Not Applicable;individual
none;no;Strongly Agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly Agree;individual
none;no;Strongly Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
do not remember;not sure;Agree;Not Applicable;Not Applicable;Not Applicable;Not Applicable;individual
