variant_status;respondent;mainline;variant;details
Attached;R1_1;2factorauth/twofactorauth;acceptbitcoincash/acceptbitcoincash;I do not discuss, but I am not sure if other maintainers do
Attached;R1_2;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;No, there has never been any discussion since the creation of the variant
Attached;R1_3;prism/Prism-Bukkit;AddstarMC/Prism-Bukkit;They used to discuss but not anymore since the projects have technically diverged from each other
Attached;R1_4;JACoders/OpenJK;JKGDevs/JediKnightGalaxies;They used to discuss but not anymore since the projects have technically diverged from each other
Attached;R1_7;Red5/red5-server;ant-media/Ant-Media-Server;No, there has never been any discussion since the creation of the variant
Attached;R1_8;airbnb/react-native-maps;fqborges/react-native-maps;I do not discuss, but I am not sure if other maintainers do
Attached;R1_9;don/cordova-plugin-ble-central;fxe-gear/cordova-plugin-ble-central;They used to discuss but not anymore since the projects have technically diverged from each other
Attached;R1_10;yihui/hugo-xmin;goodroot/hugo-classic;No, there has never been any discussion since the creation of the variant
Attached;R1_11;esbenp/prettier-vscode;numso/prettier-standard-vscode;No, there has never been any discussion since the creation of the variant
Attached;R1_12;PromyLOPh/pianobar;thedmd/pianobar-windows;Project follow original one in terms of functionality, but does not aim to expand it. It just make it work on Windows platform.
Attached;R1_13;unclebob/fitnesse;tcnh/fitnesse;No longer relevant, as the fork is now only used as a means to create PR's
Attached;R1_14;liip/LiipFunctionalTestBundle;facile-it/symfony-functional-testcase;No, there has never been any discussion since the creation of the variant
Attached;R1_15;bbmokhtari/django-translations;thread/django-translations;No, the variant has merged back into mainline. There was never any discussion while the variant existed, it was just interim to satisfy Thread's (my company's) immediate needs and we always intended to return to mainline.
Attached;R1_16;puppetlabs/puppetlabs-rsync;TheMeier/themeier-rsync;No, there has never been any discussion since the creation of the variant
Attached;R1_17;fgrosse/PHPASN1;Adapik/PHPASN1;No, there has never been any discussion since the creation of the variant
Attached;R1_18;alexbrainman/printer;jazzy-crane/printer;No, there has never been any discussion since the creation of the variant
Attached;R1_19;yiisoft/yii;b1rdex/yii;Yes, they still discuss the direction of the projects
Attached;R1_20;sizeg/yii2-jwt;bizley/yii2-jwt;No, there has never been any discussion since the creation of the variant
Attached;R1_21;mdmsoft/yii2-admin;mishamosher/yii2-admin;No, there has never been any discussion since the creation of the variant
Attached;R1_23;jazzband/pip-tools;jgonggrijp/pip-review;They used to discuss but not anymore since the projects have technically diverged from each other
Attached;R1_24;Bjorn248/BjornBot;BjornTwitchBot/BjornBot;They are effectively the same repository
Attached;R1_25;tadas-s/isbnjs;inventaire/isbn3;There as been a single interaction, which was to mostly giving the idea that the project wasn't maintained anymore https://github.com/tadas-s/isbnjs/issues/17
Attached;R1_26;highsolutions/laravel-lang-import-export;AidasK/laravel-lang-import-export;Mainline project is not very active, so it's hard to discuss
Attached;R1_27;skrusty/AsterNET.ARI;seiggy/AsterNET.ARI;Yes, they still discuss the direction of the projects
