respondent;variant_status;mainline;variant;original_developers;common_active_maintainers;motivation;motivation_detail
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;technical;different goals
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;legal;nan
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;others;nan
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;technical;different goals
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;governance;nan
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;legal;nan
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;technical;different goals
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;governance;nan
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;others;nan
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;technical;different goals
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;others;nan
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;technical;different goals
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;governance;nan
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;technical;different goals
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;governance;nan
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;legal;nan
R1_1;Attached;2factorauth/twofactorauth;acceptbitcoincash;cannot remember;no;others;nan
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;technical;customization
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;legal;nan
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;others;nan
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;technical;customization
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;governance;nan
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;legal;nan
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;technical;customization
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;governance;nan
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;others;nan
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;technical;customization
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;others;nan
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;technical;customization
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;governance;nan
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;technical;customization
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;governance;nan
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;legal;nan
R1_10;Attached;yihui/hugo-xmin;goodroot/hugo-classic;none;no;others;nan
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;technical;different goals
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;legal;nan
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;others;nan
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;technical;different goals
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;governance;nan
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;legal;nan
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;technical;different goals
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;governance;nan
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;others;nan
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;technical;different goals
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;others;nan
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;technical;different goals
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;governance;nan
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;technical;different goals
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;governance;nan
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;legal;nan
R1_11;Attached;esbenp/prettier-vscode;numso/prettier-standard-vscode;none;no;others;nan
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;technical;feature frozen
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;legal;nan
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;others;nan
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;technical;feature frozen
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;governance;nan
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;legal;nan
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;technical;feature frozen
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;governance;nan
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;others;nan
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;technical;feature frozen
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;others;nan
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;technical;feature frozen
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;governance;nan
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;technical;feature frozen
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;governance;nan
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;legal;nan
R1_12;Attached;PromyLOPh/pianobar;michcic@gmail.com;none;no;others;nan
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;technical;maintenance
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;legal;nan
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;others;supporting personal projects
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;technical;maintenance
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;governance;nan
R1_13;Attached;unclebob/fitnesse;tcnh/fitnesse;none;no;legal;nan
