New features;Bug fixes;Security Fixes;Refactoring;Documentation;Others
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Rarely;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Rarely;Sometimes;Sometimes;Rarely;Sometimes;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Often;Often;Often;Often;Often;Often
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Always
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Rarely;Often;Never;Sometimes;Never
Rarely;Rarely;Rarely;Rarely;Rarely;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Always
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Never
Rarely;Rarely;Rarely;Rarely;Rarely;Rarely
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Rarely;Never;Never;Never;Never
Always;Always;Always;Always;Always;Always
Always;Always;Always;Always;Always;Always
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Rarely;Rarely;Never;Never;Never
Often;Always;Always;Sometimes;Often;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Always
Often;Often;Often;Often;Often;Often
Always;Always;Always;Always;Always;Always
Never;Never;Never;Never;Never;Never
Rarely;Rarely;Rarely;Rarely;Rarely;Rarely
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Sometimes;Rarely;Rarely;Rarely;Rarely;Rarely
Rarely;Often;Often;Rarely;Sometimes;Rarely
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Never;Never;Never;Never;Never;Never
Always;Always;Always;Always;Always;Never
Sometimes;Always;Always;Sometimes;Often;Sometimes
Never;Never;Never;Never;Never;Never
